label
sipping cup
using inhaler
climbing tree
washing feet
playing kickball
tiptoeing
surfing water
stomping grapes
tai chi
cartwheeling
pull ups
snorkeling
side kick
petting cat
breakdancing
fencing (sport)
krumping
building sandcastle
sailing
water skiing
push up
tap dancing
shucking oysters
karaoke
playing trumpet
threading needle
throwing ball (not baseball or American football)
tying knot (not on a tie)
playing pinball
bench pressing
catching or throwing frisbee
hula hooping
pushing wheelchair
sailing
bartending
running on treadmill
fixing hair
rolling pastry
shaking hands
doing nails
headbutting
riding scooter
washing hair
exercising with an exercise ball
person collecting garbage
high kick
unloading truck
breading or breadcrumbing
scuba diving
breaking boards
jogging
scrambling eggs
weaving fabric
tightrope walking
shopping
blowdrying hair
chopping meat
casting fishing line
climbing ladder
cutting nails
home roasting coffee
doing aerobics
shoveling snow
driving tractor
poking bellybutton
playing lute
using a microscope
tasting food
playing lute
pushing wheelbarrow
giving or receiving award
catching or throwing baseball
pouring beer
winking
playing badminton
riding mechanical bull
whistling
skiing mono
swinging baseball bat
jumping bicycle
playing cricket
arm wrestling
shooting basketball
riding elephant
passing soccer ball
gospel singing in church
breakdancing
smoking
slacklining
using remote controller (not gaming)
robot dancing
making the bed
tango dancing
yoga
yoga
sweeping floor
bending metal
laying concrete
wrapping present
chiseling stone
climbing a rope
chewing gum
moving furniture
contact juggling
knitting
squat
fly tying
trapezing
triple jump
tying necktie
unboxing
putting in contact lenses
putting on sari
ironing
putting in contact lenses
needle felting
catching or throwing frisbee
golf chipping
massaging legs
assembling computer
playing keyboard
clean and jerk
laying concrete
tiptoeing
cleaning windows
wading through water
disc golfing
auctioning
playing piano
sucking lolly
shot put
catching or throwing softball
side kick
kitesurfing
embroidering
grinding meat
juggling fire
unloading truck
making pizza
shining flashlight
riding a bike
ironing hair
assembling bicycle
lunge
cooking scallops
riding or walking with horse
swing dancing
sewing
push up
making sushi
breakdancing
ice swimming
tying bow tie
stomping grapes
picking fruit
waving hand
dyeing eyebrows
carrying baby
threading needle
playing laser tag
javelin throw
playing laser tag
making tea
laughing
delivering mail
waxing chest
sausage making
tapping guitar
playing lute
plastering
swimming butterfly stroke
tapping pen
springboard diving
skipping stone
arguing
somersaulting
playing scrabble
hockey stop
bodysurfing
changing oil
juggling balls
roasting pig
tying knot (not on a tie)
card stacking
home roasting coffee
feeding fish
ironing
ironing hair
skiing slalom
docking boat
reading book
carving pumpkin
flipping pancake
waking up
tobogganing
cooking on campfire
swimming butterfly stroke
playing bass guitar
polishing metal
using a paint roller
plastering
scrubbing face
cumbia
sharpening pencil
reading book
skiing crosscountry
crossing eyes
cracking knuckles
catching or throwing softball
archery
doing nails
breaking boards
juggling fire
riding camel
shaking head
using a wrench
robot dancing
squat
leatherworking
bulldozing
tying knot (not on a tie)
ironing
smelling feet
playing beer pong
motorcycling
playing drums
making jewelry
tapping pen
ice climbing
making paper aeroplanes
scrubbing face
card throwing
throwing axe
building sandcastle
crossing eyes
throwing tantrum
throwing discus
trimming shrubs
playing kickball
skiing crosscountry
cartwheeling
assembling computer
situp
wrapping present
trimming trees
carving ice
carving pumpkin
twiddling fingers
preparing salad
archaeological excavation
playing bagpipes
pull ups
swing dancing
playing netball
sucking lolly
playing netball
swimming backstroke
massaging person's head
scuba diving
crawling baby
blowing leaves
pumping gas
leatherworking
laying stone
playing recorder
setting table
playing guitar
fencing (sport)
carrying baby
cleaning pool
roasting marshmallows
playing ping pong
pirouetting
using a sledge hammer
picking fruit
playing pinball
building shed
playing squash or racquetball
hugging (not baby)
petting animal (not cat)
making sushi
cheerleading
marching
juggling fire
playing poker
pillow fight
opening wine bottle
tasting food
hurling (sport)
ripping paper
card throwing
wading through mud
delivering mail
trimming or shaving beard
opening bottle (not wine)
playing basketball
directing traffic
catching fish
blowing out candles
cutting orange
sword swallowing
baking cookies
swimming butterfly stroke
changing gear in car
playing squash or racquetball
spray painting
square dancing
tobogganing
diving cliff
applying cream
catching or throwing frisbee
lawn mower racing
bottling
yarn spinning
head stand
feeding goats
playing trumpet
opening present
fly tying
arranging flowers
sword fighting
high kick
washing dishes
counting money
using a microscope
shuffling feet
watering plants
recording music
crossing eyes
climbing ladder
card throwing
unloading truck
eating ice cream
yoga
chopping vegetables
motorcycling
tango dancing
breakdancing
playing maracas
curling (sport)
pushing wheelchair
cumbia
raising eyebrows
spray painting
backflip (human)
feeding birds
flint knapping
high jump
throwing discus
playing dominoes
clapping
jogging
folding napkins
answering questions
juggling fire
playing hand clapping games
building lego
peeling potatoes
bulldozing
chiseling wood
swimming butterfly stroke
home roasting coffee
baking cookies
embroidering
lunge
sipping cup
massaging person's head
stretching arm
backflip (human)
long jump
moon walking
riding snow blower
playing keyboard
setting table
eating doughnuts
changing oil
putting in contact lenses
shaking hands
blowing leaves
using circular saw
laying concrete
breaking boards
looking at phone
sausage making
shooting basketball
licking
running on treadmill
changing oil
dancing ballet
shaving legs
eating carrots
cleaning toilet
burping
shining shoes
pinching
shooting goal (soccer)
